space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,32,96,96,256,256,256,256,2,0.61,2.68,155.51,7.07
2,32,96,96,256,512,256,256,1,1.23,2.69,154.25,7.02
2,32,96,96,256,512,256,256,2,1.22,2.69,155.51,7.07
2,32,96,96,256,256,512,256,1,1.23,2.69,154.25,7.02
2,32,96,96,256,256,512,256,2,1.23,2.69,154.25,7.02
2,32,96,96,256,512,512,512,1,7.6,2.71,99.86,4.54
2,32,96,96,256,512,512,512,2,7.58,2.71,100.12,4.56
2,32,96,96,512,256,256,256,1,1.21,2.69,156.49,7.12
2,32,96,96,512,256,256,256,2,1.21,2.69,156.49,7.12
4,4,32,32,256,256,256,256,1,1.4,3.33,86.24,3.08
4,4,32,32,256,256,256,256,2,1.4,3.33,86.24,3.08
4,4,32,32,256,512,256,256,1,2.82,3.36,85.63,3.06
4,4,32,32,256,512,256,256,2,2.81,3.36,85.93,3.07
4,4,32,32,256,256,512,256,1,2.7,3.36,89.43,3.2
4,4,32,32,256,256,512,256,2,2.7,3.36,89.43,3.2
4,4,32,32,256,512,512,512,1,12.35,3.41,78.21,2.8
4,4,32,32,256,512,512,512,2,12.74,3.41,75.82,2.71
4,4,32,32,512,256,256,256,1,2.79,3.34,86.38,3.09
4,4,32,32,512,256,256,256,2,2.79,3.34,86.38,3.09
4,4,32,64,256,256,256,256,1,1.38,3.33,87.49,3.13
4,4,32,64,256,256,256,256,2,1.36,3.33,88.78,3.18
4,4,32,64,256,512,256,256,1,2.7,3.36,89.43,3.2
4,4,32,64,256,512,256,256,2,2.7,3.36,89.43,3.2
4,4,32,64,256,256,512,256,1,2.59,3.36,93.23,3.33
4,4,32,64,256,256,512,256,2,2.6,3.36,92.87,3.32
4,4,32,64,256,512,512,512,1,12.08,3.41,79.96,2.86
4,4,32,64,256,512,512,512,2,12.01,3.41,80.42,2.88
4,4,32,64,512,256,256,256,1,2.71,3.34,88.93,3.18
4,4,32,64,512,256,256,256,2,2.72,3.34,88.6,3.17
4,4,64,32,256,256,256,256,1,1.35,3.33,89.43,3.2
4,4,64,32,256,256,256,256,2,1.34,3.33,90.1,3.22
4,4,64,32,256,512,256,256,1,2.69,3.36,89.77,3.21
4,4,64,32,256,512,256,256,2,2.69,3.36,89.77,3.21
4,4,64,32,256,256,512,256,1,2.58,3.36,93.59,3.35
4,4,64,32,256,256,512,256,2,2.57,3.36,93.96,3.36
4,4,64,32,256,512,512,512,1,12.07,3.41,80.02,2.86
4,4,64,32,256,512,512,512,2,12.05,3.41,80.16,2.87
4,4,64,32,512,256,256,256,1,2.7,3.34,89.26,3.19
4,4,64,32,512,256,256,256,2,2.7,3.34,89.26,3.19
4,4,64,64,256,256,256,256,1,1.2,3.33,100.61,3.6
4,4,64,64,256,256,256,256,2,1.2,3.33,100.61,3.6
4,4,64,64,256,512,256,256,1,2.37,3.36,101.89,3.64
4,4,64,64,256,512,256,256,2,2.37,3.36,101.89,3.64
4,4,64,64,256,256,512,256,1,2.29,3.36,105.45,3.77
4,4,64,64,256,256,512,256,2,2.3,3.36,104.99,3.75
4,4,64,64,256,512,512,512,1,10.65,3.41,90.69,3.24
4,4,64,64,256,512,512,512,2,10.65,3.41,90.69,3.24
