space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
8,32,128,64,256,512,512,512,2,13.81,5.47,114.9,2.5
8,32,128,64,256,512,512,512,3,13.47,5.47,117.8,2.57
8,32,128,128,256,512,512,512,1,13.4,5.47,118.42,2.58
8,32,128,128,256,512,512,512,2,13.85,5.47,114.57,2.5
8,32,128,128,256,512,512,512,3,13.66,5.47,116.16,2.53
8,32,128,256,256,512,512,512,1,13.7,5.47,115.82,2.52
8,32,128,256,256,512,512,512,2,13.56,5.47,117.02,2.55
8,32,128,256,256,512,512,512,3,13.99,5.47,113.42,2.47
8,32,256,128,256,512,512,512,1,13.31,5.47,119.22,2.6
8,32,256,128,256,512,512,512,2,13.25,5.47,119.76,2.61
8,32,256,128,256,512,512,512,3,13.39,5.47,118.51,2.58
8,32,256,256,256,512,512,512,1,13.38,5.47,118.59,2.58
8,32,256,256,256,512,512,512,2,13.46,5.47,117.89,2.57
8,32,256,256,256,512,512,512,3,13.42,5.47,118.24,2.58
